millis;pwm fill factor;sensor distance in mm
15958;0.00;255
15972;0.00;255
15985;0.00;255
15998;0.00;255
16013;0.00;255
16026;0.00;255
16039;0.00;255
16054;0.00;255
16067;0.00;255 
16081;0.00;255
16095;0.00;255
16108;0.00;255 
16122;0.00;255
16136;0.00;255
16150;0.00;255
16163;0.00;255
16178;0.00;255
16191;0.00;255
16204;0.00;255
16219;0.00;255
16232;0.00;255
16245;0.00;255
16259;0.00;255
16273;0.00;255
16286;0.00;255
16301;0.00;255
16313;0.00;255
16327;0.00;255
16340;0.00;255
16356;0.00;255
16370;0.00;255
16385;0.00;255
16397;0.00;255
16410;0.00;255
16423;0.00;255
16437;0.00;255
16450;0.00;255
16463;0.00;255
16478;0.00;255
16492;0.00;255
16505;0.00;255
16519;0.00;255
16533;0.00;255
16546;0.00;255 
16561;0.00;255
16574;0.00;255
16588;0.00;255
16602;0.00;255
16615;0.00;255
16629;0.00;255
16643;0.00;255
16657;0.00;255
16670;0.00;255
16683;0.00;255
16697;0.00;255
16710;0.00;255
16723;0.00;255
16738;0.00;255
16751;0.00;255
16765;0.00;255
16780;0.00;255
16793;0.00;255
16806;0.00;255
16820;0.00;255
16833;0.00;255
16846;0.00;255
16861;0.00;255
16874;0.00;255
16887;0.00;255
16902;0.00;255
16915;0.00;255
16929;0.00;255
16943;0.00;255
16957;0.00;255
16970;0.00;255
16984;0.00;255
16998;0.00;255
17011;0.00;255
17026;0.00;255
17039;0.00;255
17052;0.00;255
17065;0.00;255
17080;0.00;255
17093;0.00;255
17107;0.00;255
17121;0.00;255
17135;0.00;255
17148;0.00;255
17162;0.00;255
17175;0.00;255
17189;0.00;255
17203;0.00;255
17217;0.00;255
17230;0.00;255
17245;0.00;255
17258;0.00;255
17271;0.00;255
17285;0.00;255
17298;0.00;255
17312;0.00;255
17325;0.00;255
17339;0.00;255
17353;0.00;255
17366;0.00;255
17379;0.00;255
17393;0.00;255
17406;0.00;255
17421;0.00;255
17434;0.00;255
17447;0.00;255
17462;0.00;255
17475;0.00;255
17489;0.00;255
17503;0.00;255
17516;0.00;255
17529;0.00;255
17544;0.00;255
17557;0.00;255
17571;0.00;255
17585;0.00;255
17598;0.00;255
17612;0.00;255
17626;0.00;255
17640;0.00;255
17653;0.00;255
17668;0.00;255
17681;0.00;255
17694;0.00;255
17709;0.00;255
17722;0.00;255
17736;0.00;255
17750;0.00;255
17763;0.00;255
17777;0.00;255
17790;0.00;255
17805;0.70;255
17818;0.70;255
17831;0.70;255
17845;0.70;255
17859;0.70;255
17872;0.70;255
17887;0.70;255
17900;0.70;255
17914;0.70;255
17929;0.70;255
17942;0.70;255
17956;0.70;255
17970;0.70;255
17983;0.70;255
17997;0.70;255
18011;0.70;255
18024;0.70;255
18038;0.70;255
18052;0.70;255
18064;0.70;255
18077;0.70;255
18091;0.70;255
18105;0.70;255
18118;0.70;255
18131;0.70;255
18144;0.70;255
18158;0.70;255
18171;0.70;255
18185;0.70;255
18198;0.70;255
18211;0.70;255
18224;0.70;255
18237;0.70;255
18250;0.70;255
18264;0.70;255
18277;0.70;255
18290;0.70;255
18304;0.70;255
18317;0.70;255
18330;0.70;255
18342;0.70;255
18356;0.70;255
18369;0.70;255
18382;0.70;255
18396;0.70;255
18409;0.70;255
18422;0.70;255
18436;0.70;255
18449;0.70;255
18461;0.70;255
18475;0.70;255
18488;0.70;255
18501;0.70;255
18514;0.70;255
18528;0.70;255
18541;0.70;255
18554;0.70;255
18568;0.70;255
18580;0.70;255
18593;0.70;255
18607;0.70;255
18620;0.70;255
18633;0.70;255
18647;0.70;255
18660;0.70;255
18673;0.70;255
18686;0.70;255
18700;0.70;255
18713;0.70;255
18726;0.70;255
18740;0.70;255
18753;0.70;255
18766;0.70;255
18779;0.70;255
18792;0.70;255
18805;0.70;255
18819;0.70;255
18833;0.70;255
18846;0.70;255
18859;0.70;255
18872;0.70;255
18885;0.70;255
18898;0.70;255
18912;0.70;255
18925;0.70;255
18938;0.70;255
18952;0.70;255
18965;0.70;255
18977;0.70;255
18991;0.70;255
19004;0.70;255
19017;0.70;255
19031;0.70;255
19044;0.70;255
19057;0.70;255
19070;0.70;255
19084;0.70;255
19096;0.70;255
19109;0.70;255
19123;0.70;255
19136;0.70;255
19149;0.70;255
19163;0.70;255
19176;0.70;255
19189;0.70;255
19203;0.70;255
19215;0.70;255
19228;0.70;255
19241;0.70;255
19255;0.70;255
19268;0.70;255
19281;0.70;255
19295;0.70;255
19308;0.70;255
19321;0.70;255
19334;0.70;255
19347;0.70;255
19360;0.70;255
19374;0.70;255
19387;0.70;255
19400;0.70;255
19414;0.70;255
19427;0.70;255
19440;0.70;255
19452;0.70;255
19466;0.70;255
19479;0.70;255
19492;0.70;255
19506;0.70;255
19519;0.70;255
19532;0.70;255
19546;0.70;255
19559;0.70;255
19571;0.70;255
19585;0.70;255
19598;0.70;255
19611;0.70;255
19624;0.70;255
19638;0.70;255
19651;0.70;255
19664;0.70;255
19678;0.70;255
19690;0.70;255
19703;0.70;255
19717;0.70;255
19730;0.70;255
19743;0.70;255
19757;0.70;255
19770;0.70;255
19785;0.70;255
19799;0.70;255
19811;0.70;255
19824;0.70;255
19837;0.70;255
19851;0.70;255
19864;0.70;255
19877;0.70;255
19891;0.70;255
19904;0.70;255
19917;0.70;255
19930;0.70;255
19943;0.70;255
19956;0.70;255
19970;0.70;255
19983;0.70;255
19996;0.70;255
20009;0.70;255
20023;0.70;255
20036;0.70;255
20048;0.70;255
20062;0.70;255
20075;0.70;255
20088;0.70;255
20102;0.70;255
20115;0.70;255
20128;0.70;255
20142;0.70;255
20155;0.70;255
20167;0.70;255
20180;0.70;255
20194;0.70;255
20207;0.70;255
20220;0.70;255
20234;0.70;255
20247;0.70;255
20260;0.70;255
20274;0.70;255
20286;0.70;255
20299;0.70;255
20313;0.70;255
20326;0.70;255
20339;0.70;255
20353;0.70;255
20366;0.70;255
20379;0.70;193
20392;0.70;193
20405;0.70;189
20418;0.70;187
20431;0.70;184
20445;0.70;178
20458;0.70;176
20471;0.70;176
20485;0.70;169
20498;0.70;167
20511;0.70;163
20524;0.70;163
20536;0.70;157
20549;0.70;154
