millis;pwm fill factor;sensor distance in mm
16007;0.69;54
16018;0.69;53
16029;0.69;49
16040;0.69;52
16051;0.69;48
16062;0.53;46
16073;0.53;44
16084;0.53;44
16096;0.53;41
16107;0.53;40
16117;0.53;39
16131;0.53;40
16142;0.53;34
16153;0.53;34
16164;0.53;36
16176;0.53;35
16186;0.53;34
16197;0.53;32
16208;0.53;32
16220;0.53;33
16231;0.53;32
16242;0.53;33
16252;0.53;31
16264;0.53;33
16275;0.53;34
16286;0.53;33
16297;0.53;34
16309;0.53;34
16319;0.53;35
16330;0.53;37
16342;0.53;37
16353;0.53;38
16364;0.53;40 
16375;0.53;44
16386;0.53;45
16397;0.53;46
16408;0.53;46
16419;0.53;50
16431;0.53;50
16442;0.53;51
16452;0.53;54
16463;0.53;55
16475;0.53;58
16487;0.53;58
16498;0.53;61 
16510;0.53;62
16522;0.53;65
16534;0.53;66
16545;0.53;65
16558;0.53;69
16569;0.69;71
16581;0.69;72
16592;0.69;73 
16605;0.69;76
16616;0.69;78
16628;0.69;80
16640;0.69;80
16652;0.69;80
16663;0.69;83
16675;0.69;82
16687;0.69;84 
16699;0.69;83
16710;0.69;84
16722;0.69;83
16734;0.69;84
16746;0.69;87
16757;0.69;83
16770;0.69;85
16781;0.69;85 
16793;0.69;84
16804;0.69;80
16817;0.69;85
16828;0.69;82
16840;0.69;78
16851;0.69;77
16864;0.69;76
16875;0.69;75 
16887;0.69;74
16899;0.69;71
16911;0.69;70
16922;0.69;70
16934;0.69;71
16946;0.69;67
16958;0.69;65
16969;0.69;65 
16982;0.69;60
16993;0.69;61
17005;0.69;60
17016;0.69;58
17029;0.69;55
17040;0.69;55
17052;0.69;53
17062;0.53;53
17074;0.53;52
17085;0.53;51
17096;0.53;48
17107;0.53;47
17119;0.53;47
17129;0.53;45
17140;0.53;43
17152;0.53;42
17163;0.53;42
17174;0.53;40
17185;0.53;39
17196;0.53;38
17207;0.53;39
17218;0.53;38
17229;0.53;38
17241;0.53;37 
17252;0.53;35
17262;0.53;36
17273;0.53;35
17285;0.53;34
17296;0.53;35
17307;0.53;36
17318;0.53;35
17329;0.53;37
17340;0.53;36
17351;0.53;35
17362;0.53;37
17374;0.53;37
17385;0.53;37
17395;0.53;41
17406;0.53;43
17418;0.53;43
17429;0.53;46
17440;0.53;46
17452;0.53;49
17462;0.53;50
17473;0.53;51
17484;0.53;55
17496;0.53;55
17507;0.53;58
17518;0.53;57
17530;0.53;61
17542;0.53;62
17554;0.53;63
17565;0.69;66
17577;0.69;66
17589;0.69;71
17601;0.69;72
17612;0.69;75
17625;0.69;77
17636;0.69;77
17648;0.69;79
17659;0.69;81
17672;0.69;80
17683;0.69;84
17695;0.69;83
17707;0.69;83
17719;0.69;84
17730;0.69;84
17742;0.69;85
17754;0.69;86
17766;0.69;84
17777;0.69;81
17789;0.69;82
17801;0.69;80
17813;0.69;77
17824;0.69;79
17837;0.69;76
17848;0.69;73
17860;0.69;71
17871;0.69;71
17884;0.69;69
17895;0.69;65
17907;0.69;63
17918;0.69;62
17931;0.69;62
17942;0.69;57
17954;0.69;54
17966;0.69;51
17977;0.69;52
